SOX6,HPA001923;HPA003908;
AIP,CAB033674;HPA050217;CAB069477;
NDUFS8,HPA018524;HPA067429;
TCIRG1,HPA038742;
GTF2H1,CAB004637;HPA046660;
PSMD9,HPA040512;HPA044220;
PPFIBP1,HPA001924;
PRDM4,HPA024322;HPA067437;
COQ5,HPA049487;
CAPRIN2,HPA039746;
KCTD10,HPA014273;
SLC11A2,HPA032139;HPA032140;
CAMKK2,HPA017389;HPA063713;
IL23A,HPA001554;
ATP5F1B,HPA001520;HPA001528;CAB017527;
RSRC2,HPA040070;HPA048183;
MYF5,HPA041691;
KRT18,CAB000008;CAB000030;HPA001605;
METAP2,CAB013025;HPA019095;
ITFG2,HPA038664;HPA038665;
FOXM1,CAB017832;
ARPC3,HPA006550;
GPN3,HPA039764;HPA047793;
VPS29,HPA039748;
MYL2,HPA019763;HPA039262;
RAD51AP1,HPA051499;
SH2B3,HPA005483;
DUSP16,HPA020326;
CREBL2,HPA043738;
CDKN1B,CAB003691;CAB021888;HPA059086;
LTBR,CAB026202;HPA061617;
OGFOD2,HPA039448;HPA040306;
CDK2AP1,CAB019377;HPA057648;HPA068833;
OAS3,HPA041253;HPA041372;
RASAL1,HPA041650;
ARHGDIB,CAB018584;HPA051235;
GTF2H3,HPA004844;HPA053562;
EIF2B1,CAB034258;HPA049509;
DDX55,HPA039962;HPA044101;
VDR,CAB004617;HPA047740;HPA072102;
RFC5,HPA041037;
TBC1D30,HPA039772;HPA040043;
MDM1,HPA040411;HPA041594;
CNOT2,HPA067711;
KRR1,HPA043433;HPA051690;
GAPDH,CAB005197;CAB016392;HPA040067;HPA061280;
CHD4,HPA012008;
ACRBP,HPA039081;HPA039082;
COPS7A,HPA026915;
GNB3,HPA040736;
CHPT1,HPA067643;
USP5,HPA006756;
TPI1,HPA050924;HPA053568;
ATN1,HPA031619;
C12orf57,HPA046182;HPA059163;HPA066043;
SUDS3,HPA040402;HPA041972;
LDHB,CAB004641;HPA019007;
PRKAB1,HPA004247;CAB005058;
CMAS,HPA039905;
C2CD5,HPA046194;
PHC1,HPA006973;
FGFR1OP2,HPA038308;HPA038696;
KLRB1,HPA039113;
RSPH4A,HPA031196;HPA031197;HPA031198;
NEDD9,HPA009689;CAB009720;HPA038768;HPA039270;HPA072955;
ADTRP,HPA048113;
MCM9,HPA031137;
RNGTT,HPA003750;
SERINC1,HPA035738;HPA035739;
HDDC2,HPA035677;
SASH1,HPA029947;HPA029949;
FBXO5,CAB008106;HPA029048;
FANCE,CAB014893;
KCTD20,HPA030092;
SRSF3,CAB012986;HPA056981;
MCM3,CAB002162;HPA004789;HPA004790;
MDGA1,HPA031235;HPA050382;
FBXO9,HPA064246;
MDN1,HPA029666;HPA029667;HPA029668;HPA029669;
SAYSD1,HPA007959;
CAP2,HPA050530;HPA054147;
ZNF451,HPA028838;
RAB23,HPA029135;HPA029136;
CCNC,CAB010499;HPA069322;
ASCC3,HPA031608;HPA031609;HPA031610;
CRYBG1,CAB026378;HPA030948;HPA030949;
ACOT13,HPA019881;HPA057134;
C6orf62,HPA030564;HPA030566;
GMNN,CAB011458;CAB047327;CAB047328;HPA049977;HPA054597;
HBS1L,HPA029728;HPA029729;
TRIM38,HPA031685;
ZBTB24,HPA017872;HPA049003;
EPM2A,HPA053643;HPA055468;
SLC39A7,HPA053999;
PHF1,HPA031038;
CUTA,CAB016787;HPA064369;
QKI,HPA019123;CAB022602;
C6orf118,HPA029787;HPA029789;
MDFI,HPA049973;
TFEB,HPA049532;
FAM120B,HPA037518;HPA037519;
TBP,CAB009442;HPA049805;
BICRAL,HPA029390;HPA029391;
PPP2R5D,HPA029045;HPA029046;
SRF,HPA001819;CAB005416;
DNPH1,HPA029675;HPA029676;
DUSP22,HPA031394;
EXOC2,HPA032093;
SENP6,HPA024376;
PRPF4B,HPA020638;
TTK,CAB010166;CAB013229;
BTN2A1,HPA019208;
LAMA4,HPA015693;CAB078156;
ERBIN,HPA048606;HPA059863;
PCDHB2,HPA007548;
HARS2,HPA035941;
MAN2A1,CAB022377;HPA026896;
PAPD7,HPA045487;HPA046742;
HMGCS1,CAB032907;HPA036913;HPA036914;
DAP,HPA029456;
HSPA9,HPA000898;CAB005219;
PFDN1,HPA006499;
APBB3,HPA005571;HPA076196;
TMCO6,HPA037473;HPA037474;
HAND1,HPA040925;
PCDHB6,HPA029566;HPA075308;
CLK4,HPA043746;
HAVCR1,HPA007173;CAB075697;
ARSB,HPA037770;HPA037771;
CLINT1,HPA043280;HPA056947;
CNOT6,HPA044568;
TTC1,HPA036557;HPA057502;
MSH3,HPA036081;
CCNG1,CAB000350;
POLR3G,CAB010109;HPA052658;HPA074330;
LMNB1,CAB005269;HPA050524;CAB079757;
SUB1,HPA001311;CAB015351;
FAM172A,HPA012299;HPA045505;
PDE4D,HPA045895;
BRIX1,HPA039614;
RAD50,CAB022103;CAB024979;HPA052291;
SKP1,CAB012982;HPA053745;HPA058134;
NUP155,HPA037775;
NR3C1,HPA004248;CAB010435;
TRAPPC13,HPA037777;
TXNDC15,HPA015483;
TTC33,HPA038252;HPA038253;
RARS,HPA003979;HPA004130;
WWC1,HPA038016;HPA038017;
H2AFY,HPA041189;HPA050962;
SMAD5,HPA058931;
HMGXB3,HPA005967;
ERGIC1,HPA018666;HPA018900;
STC2,HPA045372;
CPEB4,HPA038394;
DBN1,HPA051452;HPA056940;
ZNF346,HPA018485;
TIMMDC1,HPA053214;HPA055846;
BCL6,CAB000307;HPA004899;HPA050645;
NIT2,HPA036999;HPA041289;
FAM162A,HPA035856;HPA058113;
OGG1,HPA027514;CAB047301;
KPNA1,HPA053627;HPA063426;
UBE3A,CAB009723;HPA039410;HPA040380;
ARMC8,HPA036996;HPA044869;
CEP70,HPA036941;HPA036942;
RBP1,HPA007338;CAB018603;CAB019276;
SLC25A36,HPA027036;
RNF7,HPA036995;
KAT2B,HPA002470;CAB004526;HPA055839;HPA073897;
PFKFB4,HPA047719;HPA066058;
USP4,HPA018499;
ECT2,HPA036363;HPA053261;
GNAI2,HPA007704;
TFG,HPA019473;HPA052206;
TUSC2,HPA030116;
RPL24,HPA051653;
C3orf14,HPA048286;
FXR1,HPA018246;HPA055475;
BBX,HPA006049;HPA050646;
IFT57,HPA035514;HPA035515;
GNB4,CAB018383;CAB018737;HPA040736;
IQCG,HPA042787;HPA051981;
ABTB1,HPA035022;HPA035023;
PODXL2,CAB024934;HPA042265;
NEK11,HPA016908;
CISH,CAB034039;HPA040812;
MAPKAPK3,HPA058275;
WDR48,HPA038421;HPA058015;
GORASP1,HPA056283;
RRP9,HPA038798;
ABHD14B,HPA036444;HPA036642;
ARHGEF26,HPA017722;HPA049195;
PLCH1,HPA036176;HPA057978;
TNNC1,CAB002450;HPA044848;HPA056897;
NKTR,HPA022120;HPA051576;
FOXP1,HPA003876;CAB011501;
EIF4G1,CAB014774;HPA028487;HPA043866;
EEF1B2,CAB012477;HPA035029;
RTKN,HPA030259;
NCL,CAB004210;HPA023981;HPA071110;
SLC35F5,HPA034828;HPA049229;
EPB41L5,HPA037563;HPA037564;
SF3B6,HPA034829;HPA034830;
TP53I3,CAB017479;HPA022012;HPA028742;
DNAJC27,HPA036815;HPA036816;
STAM2,HPA035528;HPA035529;
CYTIP,HPA007191;
PSMD14,HPA002114;HPA003828;
PPM1G,HPA035530;HPA035531;
GCA,HPA035033;HPA035034;
TTC31,HPA041783;
GRB14,CAB022294;HPA035052;HPA035053;
CLIP4,HPA043366;HPA056246;
TLX2,HPA062254;
SPTBN1,HPA012685;HPA013149;
AUP1,HPA007674;
RTN4,CAB005388;HPA023977;
DOK1,CAB004224;HPA048561;
GALNT3,HPA007613;
EVA1A,HPA008055;
LANCL1,HPA034994;
WDR75,HPA038199;
PAPOLG,CAB017795;HPA035349;HPA035350;
ELMOD3,HPA012126;
CCT4,HPA029349;
OTX1,CAB012341;HPA052122;
TXNDC9,HPA031844;HPA031845;HPA031846;
COQ10B,HPA046057;
SF3B1,HPA050275;
KDM3A,HPA055543;HPA065162;
IL18R1,HPA007615;
SLC9A2,HPA035121;HPA035122;
FHL2,HPA005922;HPA006028;CAB008368;
ABCB6,HPA046723;HPA058011;
HDLBP,HPA004189;CAB026457;
PASK,HPA016450;HPA021079;
ODC1,HPA001536;CAB035996;
NOL10,HPA035286;HPA043075;
GORASP2,HPA035274;HPA035275;CAB075758;
STRN,HPA017286;
CEBPZ,HPA052065;
RAB3GAP1,HPA034494;HPA034495;
SLC25A12,HPA035333;HPA035334;
DLX2,HPA056965;
DARS,HPA020451;HPA029804;HPA029805;
SRSF7,HPA043850;HPA056926;
SDC1,CAB002424;HPA006185;HPA067477;
SLC1A4,HPA034963;HPA034964;
SOS1,CAB005396;
ORC2,CAB003693;HPA073881;
COX7A2L,HPA059124;CAB073545;
PNO1,HPA056928;
ORC4,CAB015124;HPA064562;
ATF2,CAB003769;HPA022134;
THADA,HPA035191;HPA035192;
C2orf42,HPA031840;HPA031841;HPA031842;
TIA1,HPA056961;
NFE2L2,HPA002990;CAB020317;HPA043438;
MSH6,CAB009091;HPA028376;HPA028446;CAB070870;
PLEKHA3,HPA034496;HPA034497;
SPR,HPA039505;
FARSB,HPA036677;HPA036678;HPA061398;
DNAJC16,HPA043643;
MORN1,HPA005858;HPA070703;
CACYBP,HPA025753;HPA057038;
RALGPS2,HPA027143;HPA028328;
FAM20B,HPA007409;
LRRC42,HPA047458;HPA050537;HPA064581;
MRPL37,HPA025767;HPA025826;HPA025951;
QSOX1,HPA056243;
STXBP3,HPA027225;
SRSF4,HPA050975;
MECR,HPA022018;HPA022030;HPA028740;
KCNC4,HPA014740;
WDR77,HPA026437;HPA026448;HPA027271;
HDAC1,CAB005017;HPA029693;CAB068191;
RNF19B,HPA049587;HPA063640;
ASH1L,HPA004806;
SFPQ,CAB009886;HPA047513;HPA054689;
LAMTOR2,HPA004126;
MEF2D,HPA004807;HPA007114;
SRM,HPA015746;
FBXO2,HPA005472;
C1orf21,HPA026831;
SWT1,HPA024214;HPA027334;
DNAJC6,HPA031182;HPA054917;
IVNS1ABP,HPA003405;
MIIP,HPA044948;
SMG7,HPA029350;
GADD45A,HPA053420;
PRAMEF12,HPA045286;HPA051704;
PRDM2,HPA005809;
RGS2,HPA013385;
TROVE2,HPA002835;HPA005142;
NR5A2,HPA005455;HPA017067;
ADPRHL2,HPA026641;HPA027104;HPA027141;
MAP7D1,HPA028075;
OSCP1,HPA028436;HPA052655;
MRPS15,HPA028100;HPA028134;HPA067137;
EXOC8,HPA027438;
TSNAX,HPA024613;HPA031054;HPA031055;CAB034263;
C1orf109,HPA027110;HPA027127;
RRAGC,HPA018247;HPA055489;
AKT3,CAB013090;HPA026441;
ACADM,HPA006198;HPA026542;
RPF1,HPA024642;
KDM5B,HPA027179;HPA053723;CAB068193;
ACTL8,HPA027176;
CTBS,CAB017043;HPA023594;HPA048810;
RBBP5,HPA049042;HPA058085;
KIF17,HPA032085;
CD46,CAB010401;HPA016903;
PRPF3,HPA027226;HPA067116;
P3H1,HPA012113;HPA016980;
SLC2A1,CAB002759;HPA031345;HPA058494;
CDC20,CAB004525;HPA045842;HPA055288;
ATP6V0B,HPA044281;
ERI3,HPA027147;HPA029895;
AKR1A1,CAB006246;HPA017919;HPA019649;HPA027734;
PRDX1,CAB004682;HPA007730;
CCDC181,HPA027189;HPA027275;HPA027281;HPA027312;
SLC19A2,HPA006119;HPA016599;
DR1,HPA050785;HPA055308;
CNN3,CAB009849;HPA051237;
PRRC2C,HPA025766;HPA028659;
F3,CAB009438;HPA049292;HPA069132;
ABCD3,HPA032026;HPA032027;CAB032516;CAB075749;
VAMP4,HPA050418;
PTBP2,HPA047420;
PRDX6,HPA006983;CAB008663;
RCAN3,HPA034533;HPA064289;
STMN1,CAB010107;HPA068438;
MTFR1L,HPA027124;HPA027130;
MAN1C1,HPA048352;
DHDDS,HPA026721;HPA026727;
PROX1,HPA000842;HPA001030;HPA027298;
ARID1A,HPA005456;CAB016334;
CENPF,HPA052382;HPA064308;CAB070134;
STX12,HPA041038;HPA055300;
ESYT2,HPA002132;
CD3EAP,HPA041664;HPA041734;
MESD,HPA039414;HPA041721;
RCN2,HPA030694;HPA030695;
STAG1,HPA035015;HPA058653;
STK11,CAB016231;HPA017254;CAB022105;HPA067481;
KMT2A,CAB017794;CAB024270;HPA044910;
IFT46,HPA037909;HPA057550;
APOA1,CAB016778;HPA046715;
RPS25,HPA031801;HPA078683;
CREB1,CAB003803;HPA019150;
SPCS2,HPA013386;
USP35,HPA055213;HPA058592;
HMGN3,CAB018370;HPA027971;HPA063572;
PHF3,HPA024676;HPA025763;
ADGB,HPA036340;HPA036341;
FBXO30,HPA012583;
TNFAIP3,HPA002116;
RAB32,HPA025731;
SGK1,CAB022085;CAB025148;HPA051251;
RNF146,HPA027158;HPA027209;
MED28,HPA035900;HPA035901;
RXYLT1,HPA064014;
FOXO3,CAB004074;HPA063104;
TGIF2,HPA053786;HPA064522;
ABCG2,CAB037299;HPA054719;
CCNI,CAB010206;HPA039853;HPA061470;
RAB3GAP2,HPA026273;HPA027299;
EEF2KMT,HPA041610;
UCHL3,HPA019678;CAB037139;CAB037208;
PCDH17,HPA026817;
HS1BP3,HPA035050;
CCND2,HPA049138;HPA054196;
SATB2,HPA001042;CAB023669;HPA029543;CAB062562;CAB067751;CAB068229;CAB068230;CAB068231;
GDA,HPA019352;HPA024099;HPA030387;
TJP2,HPA001813;CAB009228;HPA070714;
C1orf198,HPA004798;
PTBP3,HPA048374;
RAD23B,HPA029718;HPA029720;CAB033868;
FKBP15,HPA007979;
WDR34,HPA040764;HPA041091;
GLE1,HPA041689;HPA043538;HPA061560;
RAB14,HPA026419;CAB037066;
CNTRL,HPA020468;HPA020480;HPA051583;
TRIM32,HPA050060;
FBXW2,HPA067878;
BSPRY,HPA042889;HPA077485;
HSDL2,HPA042890;HPA050453;
MAPKAP1,HPA029091;HPA029092;
INVS,HPA049994;
ONECUT2,HPA057058;
ZBTB45,HPA035754;HPA075485;
YLPM1,HPA048070;HPA061123;
DCAF4,HPA047276;
FCF1,HPA046681;
PGF,HPA041624;
BBOF1,HPA003090;HPA003136;HPA075108;
NEK9,HPA001405;
DNAL1,HPA053129;HPA060974;
IRF2BPL,HPA050862;HPA061333;
ACOT2,HPA043705;HPA060170;
LTBP2,HPA003415;
MLH3,HPA060570;
TTLL5,HPA032128;
PPP4R4,HPA041866;HPA050321;
ZC2HC1C,HPA050928;HPA065062;
SLIRP,HPA020291;
RBM25,HPA003025;HPA070713;
ALDH6A1,HPA029072;HPA029073;HPA029074;HPA029075;
EIF2B2,HPA005841;CAB037105;HPA048028;
NRDE2,HPA047050;HPA050583;
ZNF410,HPA002871;
TMEM214,HPA034551;
ATAD2B,HPA034555;
YPEL5,HPA042809;
FAM98A,HPA036250;HPA036251;
YIPF4,HPA017884;
AFTPH,HPA034990;HPA034991;
LGALSL,HPA046079;
CNRIP1,HPA035337;
BCL11A,CAB014891;HPA029003;HPA075941;
CRIPT,HPA046080;HPA056765;
SLC17A5,HPA044479;
OGFRL1,HPA027122;
SLF2,HPA038499;HPA057568;
IFIT2,HPA003408;
CNNM1,HPA040408;
HELLS,CAB004491;HPA063242;
TCTN3,HPA026987;
FAM45A,HPA041159;
AVPI1,HPA037649;
WDR11,HPA038980;
C10orf76,HPA050913;HPA053580;
GOT1,HPA064532;HPA072629;
KANSL1,HPA006874;HPA007208;
CAAP1,HPA020404;HPA024029;HPA024100;
CCDC170,HPA027114;HPA027185;
PCMT1,HPA003239;
WDR55,HPA043470;HPA048143;HPA075133;
GORAB,HPA027208;HPA027250;HPA027746;
SNX19,HPA013447;
ENY2,HPA024648;
MASTL,HPA027175;HPA054273;
KIAA1217,HPA004941;
CCDC77,HPA038854;
PROSER1,CAB034225;HPA055687;
WBP4,HPA038965;HPA058738;
SMAD9,CAB009119;HPA031162;
HSPH1,CAB002060;HPA028675;HPA031569;
ALG5,HPA007989;
PAIP2,HPA035945;CAB037212;HPA056766;
KDM3B,HPA016610;HPA057202;
EGR1,CAB019427;HPA029937;HPA029938;
ZFP30,HPA030606;
NR2C1,HPA035040;HPA035041;HPA067767;
TMPO,HPA008150;CAB009847;HPA070805;
SOCS2,CAB010356;
NFYB,CAB004211;HPA065646;
WASHC3,HPA038339;
APAF1,HPA031373;CAB069399;
SORBS3,HPA015849;
EPHX2,HPA023094;HPA023660;
UBIAD1,HPA044862;
ZNF706,HPA042793;
COPS5,CAB004242;HPA004845;HPA051531;
AKAP1,HPA008620;HPA008691;CAB019286;
SCPEP1,HPA039102;HPA057200;
FAM117A,HPA022531;
TSHZ3,HPA008834;HPA071010;
PYROXD1,HPA038319;HPA038320;
BCL2L14,HPA040665;HPA059846;
ZNF211,HPA011340;HPA049967;
RNF2,HPA026803;
DPPA4,CAB020678;HPA035249;HPA035250;
DESI2,HPA049950;
CRY2,HPA037577;
DEPDC7,HPA015800;
CAT,CAB001515;HPA051282;HPA055838;
PILRB,HPA026750;
TBC1D15,HPA013388;HPA015592;
KHDRBS1,CAB005355;HPA051280;HPA056813;
TMEM39B,HPA040191;HPA040224;
ZNF639,HPA049023;HPA052163;
SLITRK3,HPA017636;HPA048042;
PDS5A,HPA036661;HPA036662;
ZSCAN20,HPA017933;
LRIF1,HPA044515;
CLCC1,HPA009087;HPA013210;
GPSM2,HPA007327;HPA008408;CAB018962;
GTDC1,HPA036694;
SV2C,HPA040722;HPA040770;
RPL21,HPA047252;
MTIF3,HPA039791;
GTF3A,HPA007990;
UBL3,HPA053772;HPA058781;
MTERF4,HPA027097;
MRPS2,HPA029487;HPA057261;
LAX1,HPA002461;HPA003887;CAB025358;
KIAA1191,HPA044701;HPA048145;
RBBP6,CAB032866;HPA041725;HPA043544;
ZC3H7A,HPA040808;HPA059849;
FAM35A,HPA036582;
ZNF205,HPA001791;
NAA60,HPA040916;
TRMT13,HPA028494;
ZNF644,HPA057795;
RPAP2,HPA046443;
PQLC1,HPA051666;
PMS2,CAB010235;HPA066490;HPA070310;
ZMIZ2,HPA040716;
KLHL7,HPA029491;HPA029492;
HNRNPA2B1,HPA001666;HPA005812;CAB012403;HPA065537;
NPY,CAB016733;CAB034368;HPA036636;HPA044572;HPA056798;
FAM126A,HPA042873;
FKBP9,HPA012595;HPA055256;
SMU1,HPA019708;
GLIPR2,HPA029478;
CLTA,CAB002665;HPA050918;HPA054667;
SPINK4,HPA007286;
ACO1,HPA019371;HPA024157;
KIAA1549,HPA019560;
CHST3,HPA047523;HPA055704;
ECD,HPA006465;
P4HA1,HPA007599;HPA026593;
IFT81,HPA019087;HPA020051;
MED13L,HPA039445;
CDKN2C,CAB005303;CAB018398;HPA019057;HPA019764;
RASSF8,HPA038163;HPA038164;
CCDC91,HPA038169;
NECAB1,HPA023252;HPA023629;HPA025963;HPA031262;CAB068208;CAB068209;CAB068210;
ACOT9,HPA035533;
PRDX4,CAB008659;CAB027389;CAB047362;HPA067039;
ADGRE5,HPA013707;
WDR83,HPA042629;HPA042838;
GIPC1,HPA043958;HPA061786;
EBPL,HPA049891;
NLN,HPA031862;
OPTN,HPA003279;HPA003360;CAB019303;
ATF1,CAB016222;HPA055069;HPA055406;
TSFM,HPA006204;
SPATS2,HPA038642;HPA038643;HPA076823;
TUBA1B,CAB011513;HPA039247;HPA043684;HPA063394;
KBTBD4,HPA037792;HPA037793;
SARDH,HPA057267;HPA058086;
AMD1,HPA029281;HPA029282;
NDUFAF4,HPA046560;
MORF4L2,HPA031872;HPA054102;
FAM199X,HPA003093;
RAB9A,HPA003094;CAB016411;
METTL8,HPA035421;
TTC21B,HPA035494;HPA035495;HPA073293;
EXOSC9,HPA041838;HPA048257;CAB070171;
COQ8B,HPA027229;HPA027277;HPA027279;HPA028303;
PFKFB2,HPA049975;HPA063575;
MXD4,HPA053363;
CHPF,HPA035123;
OBSL1,HPA036404;HPA036405;
ENKD1,HPA041163;HPA041478;
FAM210B,HPA042652;
SNX21,HPA046359;
TTPAL,HPA046957;HPA066532;
PREX1,HPA001927;
ARHGAP40,HPA042636;HPA042840;
SDC4,HPA005716;CAB013240;
NCOA3,CAB009800;HPA024210;
NCOA5,HPA050231;
VAPB,HPA013144;CAB013722;
PARD6B,HPA013376;
CHD6,HPA015543;
PLCG1,CAB004277;HPA036681;HPA036682;
TOX2,HPA049900;HPA058396;
ZNFX1,HPA046629;
RAB22A,HPA058894;HPA066920;
STAU1,CAB020839;HPA049892;HPA072004;
STX16,HPA041019;HPA042033;
RNF114,HPA021184;
DDX27,HPA047087;
MTRR,HPA038113;
IQSEC2,HPA003973;HPA076533;
NAGK,HPA035206;HPA035207;
MCEE,HPA035196;
SNRNP27,HPA034541;
MPHOSPH10,HPA035059;HPA035060;HPA049907;
ZNF576,HPA050064;
TRERF1,HPA027771;HPA051273;HPA059943;
BTN2A2,HPA051504;
RRP36,HPA029904;HPA029905;
SNRPC,CAB034338;HPA042419;HPA055490;
SERPINB6,HPA009668;HPA012736;
XPO5,CAB012357;HPA018402;HPA023959;HPA029909;
NQO2,HPA021283;HPA021332;
OARD1,HPA029036;
UNC5CL,HPA015725;
AARS2,HPA035636;HPA061396;
RPS10,HPA047268;HPA048084;
HIST1H2BJ,HPA042205;HPA043013;HPA048671;
MED20,HPA040717;
TBCC,HPA035073;HPA035074;
MAD2L1BP,HPA028729;
KLHDC3,HPA030131;HPA030132;HPA030133;HPA030134;
GNMT,HPA027501;
MEA1,HPA017921;HPA073087;
SOX4,HPA029901;
GLO1,CAB040541;CAB040542;HPA059791;
CPNE5,HPA031369;
SSR1,HPA011276;HPA017062;
RPP40,HPA035685;HPA035686;
NUP153,HPA027896;HPA027897;HPA027898;HPA027899;
DEK,CAB015226;HPA054505;HPA057799;
EEF1E1,HPA027901;HPA057866;
LRRFIP1,HPA006979;
EREG,HPA054373;
MYRF,HPA018310;
AHNAK,HPA019010;HPA019070;HPA026643;
EMC3,HPA042372;
LRRC29,HPA034998;
TMTC4,HPA016489;HPA057056;
EFNB2,HPA008999;CAB009368;
IRF1,CAB011662;HPA063131;
UPF3B,HPA001592;HPA001800;HPA001882;
TMEM255A,HPA048470;
ATP5S,HPA046967;HPA062690;
FAM193A,HPA043116;
SOX9,HPA001758;CAB022456;CAB068240;
MRPS7,HPA022522;HPA023007;
ARMC7,HPA024229;HPA053076;
NT5C,HPA021581;HPA023632;
MSTO1,HPA005899;HPA005914;
TTF1,HPA054837;
DDX31,HPA020891;
CHCHD5,HPA038263;
POLR1B,HPA037528;
GTF2F1,HPA022793;HPA028707;HPA070752;
CLPP,HPA010649;
TNFSF9,HPA059857;
THOC2,HPA047921;
MED1,CAB017696;HPA052818;
RPL23,HPA003373;
TRIP10,HPA041934;HPA072625;HPA073886;
GPR108,HPA041924;HPA041951;HPA063863;
OPA3,HPA044881;
SNRPD2,HPA041437;
RTN2,HPA034941;HPA034948;
EML2,HPA012757;
VASP,CAB004612;HPA005724;
SYMPK,HPA041756;HPA042449;
GPCPD1,HPA042987;
NAPB,CAB037225;CAB037227;HPA046149;HPA050196;
PSMF1,HPA041122;HPA041300;
DTD1,HPA040981;
TMX4,HPA000399;HPA015752;
NRSN2,HPA015967;
RRBP1,HPA009026;HPA011924;
OVOL2,HPA038531;
BFSP1,HPA040748;HPA042038;
MGME1,HPA040913;
MRPS26,HPA045472;HPA054610;
CITED1,HPA049051;
HNRNPR,CAB011687;HPA026092;
ZNF436,HPA043817;
MAX,CAB000328;HPA003474;
ARMCX5,HPA000996;
ID1,CAB025915;HPA051456;HPA058518;
RALY,HPA040971;HPA043614;
CEP250,HPA064875;
TMEM115,CAB006319;HPA015497;
PSMB2,HPA026322;HPA026324;
UROD,HPA027468;HPA028668;HPA030350;
IGFLR1,HPA012369;
CAPNS1,HPA006872;
RBM42,HPA043671;
COX6B1,HPA004192;
THRA,HPA009654;CAB023349;
PRDX5,CAB008661;HPA037915;HPA037916;
IRF3,HPA004895;CAB013018;
RRAS,CAB010160;HPA060364;CAB069439;
SCAF1,HPA046828;HPA054593;
PRR12,HPA011959;
ASL,CAB003696;HPA016646;
STAT5A,CAB003860;HPA027873;HPA042128;HPA049883;HPA051156;
TRAP1,HPA041082;HPA044227;
NSRP1,HPA015593;HPA015603;
DNAJC8,HPA026275;HPA026283;
AHDC1,HPA028648;HPA028685;HPA028691;
IFI6,HPA005543;
ZNF384,HPA004051;
UXT,HPA050499;HPA058400;
ELK1,CAB003808;HPA036084;HPA064381;
TIMM17B,HPA029093;
PCNX4,HPA002076;HPA003390;
KTN1,HPA003178;CAB015331;HPA017876;
L3HYPDH,HPA056694;
ZBTB1,HPA050516;HPA054552;HPA075151;
TRMT5,HPA000943;
SGPP1,HPA053149;HPA064908;
WDR60,HPA020607;HPA021316;
FAM78A,HPA021472;HPA023914;
NUP214,HPA048789;
SLC10A3,HPA021656;
MAP2K2,CAB003835;HPA051993;
TIMM8A,HPA003628;
CANX,CAB004738;HPA009433;HPA009696;
FGD3,HPA020963;HPA021018;
HIVEP3,HPA005728;
EDN2,HPA028459;
TRAF2,CAB004603;HPA009972;HPA010634;
HRASLS,HPA051179;
RAB3IP,HPA039794;
DYRK2,HPA027230;HPA056902;
LRRC61,HPA019355;
TMEM175,HPA057160;
AUNIP,HPA028730;
PIN1,CAB004528;CAB009326;HPA068650;HPA070887;
FBXL12,HPA002843;
HP1BP3,HPA028215;HPA054295;
SIN3B,HPA050329;
SLC35E1,HPA016570;HPA062214;
EPS15L1,HPA019237;HPA055309;
GFER,HPA041227;HPA063553;
CHTF18,HPA040976;HPA056209;
SMARCA4,CAB004208;
TICAM1,HPA042460;
METTL25,HPA039534;HPA041207;
EMC6,HPA062681;
METTL16,HPA020352;HPA059798;
TUBA4A,CAB004621;CAB005887;HPA039247;HPA043684;HPA063394;
AAMP,CAB017717;HPA031868;
PNKD,HPA010134;HPA017068;
RNF6,HPA039343;HPA040048;
ECHS1,CAB003783;HPA021995;HPA022476;
AKAP9,HPA008548;CAB012909;HPA026109;
HIP1,HPA013606;CAB015334;CAB016402;HPA017964;
PTPN12,HPA007097;
POR,CAB004372;HPA010136;
GNAI1,CAB022449;HPA042141;
CASD1,HPA044404;
RASL11B,HPA057803;
GAL3ST1,HPA001220;HPA077138;
MPST,HPA001240;
TST,HPA003044;HPA003643;CAB009546;
LIF,HPA018844;CAB025985;
RNF112,HPA015970;
CPA4,HPA021030;
LSM8,HPA020116;
CDHR3,HPA011218;
PRKRIP1,HPA051146;
FOXP2,HPA000382;HPA000383;HPA001679;
STRIP2,HPA019657;
IFT22,HPA042930;
FLNC,HPA006135;HPA071007;
CALU,HPA006018;
KLHDC10,HPA020119;
OPN1SW,HPA013562;HPA014083;
HOXD3,HPA051831;HPA063671;
MTX2,HPA031550;HPA031551;HPA031552;
CHN1,HPA036111;
OSGEPL1,HPA030693;
HAT1,HPA036788;CAB037191;
HOXD11,HPA055155;
PSMG2,HPA041517;HPA046741;
TWSG1,HPA014898;
ARHGAP22,CAB020696;HPA040391;HPA064439;
MYO5C,CAB020790;HPA032115;HPA032116;
TMOD2,HPA041365;
TTBK2,HPA018113;HPA049866;
ELL3,HPA028938;HPA073494;
CCDC32,HPA041688;
MINDY2,HPA051103;HPA063669;
DUT,HPA054422;HPA060360;
CHAC1,HPA042708;HPA043505;
CALML4,HPA051109;
THAP10,HPA041416;HPA073220;
ANAPC13,HPA046114;
MBD4,HPA002031;
COPB1,CAB012338;HPA043954;HPA064403;
PSMA1,CAB033765;HPA037646;HPA043891;
TPH1,CAB010767;HPA022483;
DCTD,HPA035894;
PIMREG,HPA043783;HPA049934;
RPAIN,HPA023924;HPA031526;
USP6,HPA046969;
AIPL1,HPA026578;
CD68,CAB000051;CAB000066;HPA048982;CAB072861;CAB072862;
FXR2,CAB011205;HPA022997;
